# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileChannelInterruptsRetryer.totalRetriedAttempts,1782184011495000000,1782184020126000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1782184011495000000,1782184020126000000,41959424
DirectByteBufferAllocator.misses,1782184011495000000,1782184020126000000,314
FilePageCache.totalPageLoadsUs,1782184011495000000,1782184020126000000,127526
DirectByteBufferAllocator.disposed,1782184011495000000,1782184020126000000,272
FilePageCache.pageHits,1782184011495000000,1782184020126000000,0
StorageLockContext.competingThreads.max,1782184011495000000,1782184020126000000,0
DirectByteBufferAllocator.hits,1782184011495000000,1782184020126000000,3
FilePageCache.pageFastCacheHits,1782184011495000000,1782184020126000000,6277
StorageLockContext.competingThreads.90P,1782184011495000000,1782184020126000000,0
FilePageCache.capacityInBytes,1782184011495000000,1782184020126000000,629145600
FilePageCache.maxCacheSizeInBytes,1782184011495000000,1782184020126000000,327172096
FilePageCache.pageLoadsAboveSizeThreshold,1782184011495000000,1782184020126000000,0
StorageLockContext.competingThreads.avg,1782184011495000000,1782184020126000000,0.0
FilePageCache.uncachedFileAccess,1782184011495000000,1782184020126000000,187
FilePageCache.disposedBuffers,1782184011495000000,1782184020126000000,317
FilePageCache.pageLoads,1782184011495000000,1782184020126000000,317
FilePageCache.maxRegisteredFiles,1782184011495000000,1782184020126000000,877
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1782184011495000000,1782184020126000000,41959424
DirectByteBufferAllocator.reclaimed,1782184011495000000,1782184020126000000,45
FilePageCache.totalPageDisposalsUs,1782184011495000000,1782184020126000000,996
Indexing.writer_2.totalTimeSpentWritingMs,1782184011495000000,1782184020126000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1782184011495000000,1782184020126000000,0
Indexing.cache.totalCacheAccesses,1782184011495000000,1782184020126000000,0
Indexing.cache.totalCacheMisses,1782184011495000000,1782184020126000000,0
Indexing.writesQueuedMax,1782184011495000000,1782184020126000000,0
Indexing.cache.totalCacheEvicted,1782184011495000000,1782184020126000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1782184011495000000,1782184020126000000,0
Indexing.totalTimeIndexersSleptMs,1782184011495000000,1782184020126000000,0
Indexing.writesQueuedMin,1782184011495000000,1782184020126000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1782184011495000000,1782184020126000000,0
cacheStateStorage.set.counter,1782184011495000000,1782184020126000000,1
cacheStateStorage.get.duration,1782184011495000000,1782184020126000000,8
cacheStateStorage.set.duration,1782184011495000000,1782184020126000000,3
cacheStateStorage.get.counter,1782184011495000000,1782184020126000000,1
workspaceModel.global.apply.state.to.project.ms,1782184011495000000,1782184020126000000,0
jps.load.initial.state.ms,1782184011495000000,1782184020126000000,0
jps.save.global.entities.ms,1782184011495000000,1782184020126000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1782184011495000000,1782184020126000000,0
workspaceModel.global.updates.ms,1782184011495000000,1782184020126000000,0
workspaceModel.sync.entities.ms,1782184011495000000,1782184020126000000,0
workspaceModel.global.updates.count,1782184011495000000,1782184020126000000,0
AWTEventQueue.dispatchTimeTotalNS,1782184011495000000,1782184020126000000,712359115
writeAction.wait.ms,1782184011495000000,1782184020126000000,1
writeAction.count,1782184011495000000,1782184020126000000,1
DiskQueryRelay.tasksRequested,1782184011495000000,1782184020126000000,19
writeAction.max.wait.ms,1782184011495000000,1782184020126000000,1
DiskQueryRelay.tasksExecuted,1782184011495000000,1782184020126000000,19
writeAction.median.wait.ms,1782184011495000000,1782184020126000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1782184011495000000,1782184020126000000,18423
DiskQueryRelay.taskExecutionTotalTimeUs,1782184011495000000,1782184020126000000,3983
